target,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,sa,cv,density,vf,di,df,dif,filename
453.528412,140.67989999999998,265.22399999999993,533.3317999999999,497.424,3420.0,6048.0,10712.0,9408.0,16.0,38.0,60.0,68.0,98.0,250.0,384.0,392.0,12.316,30.032200000000003,46.686,50.8372,2.7225,20.812,16.665,41.492,900.0,880.0,2280.0,1760.0,1.0,3.6666666666666665,4.666666666666667,8.0,13.666666666666666,31.0,56.66666666666666,68.66666666666667,1.7161000000000002,3.5064333333333333,6.122066666666668,7.790133333333333,0.0,-6.563333333333333,-2.4,-11.946666666666664,0.0,80.66666666666667,64.0,181.3333333333333,0.0,0.0,0.0,0.0,0.0,5.333333333333333,2.0,10.666666666666666,0.0,2.126666666666667,1.4400000000000002,4.533333333333333,803.3332000000012,1751.6141999999995,3054.721599999995,4015.1659999999983,4526.0,10400.0,15760.0,18708.0,118.0,266.0,456.0,616.0,722.0,1906.0,3064.0,3720.0,57.112199999999966,144.24579999999975,237.1240000000001,299.1895999999999,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999998,0.5621,1.095,1.1242,28.09,59.88999999999999,87.98,119.78,0.0,0.8900000000000003,0.8900000000000003,1.7800000000000007,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,10.107866666666668,16.219600000000003,28.357066666666658,35.947999999999986,128.0,234.66666666666663,234.66666666666663,266.6666666666667,1.0,2.0,3.333333333333333,4.666666666666667,6.0,13.333333333333334,20.666666666666668,26.666666666666668,0.7020666666666665,1.5163999999999995,2.151933333333333,2.7977333333333334,144.17999999999992,283.24000000000007,390.8733333333333,510.29195600000025,0.0,0.02,1.2266666666666677,2.666666666666668,0.0,6.666666666666667,16.0,28.666666666666668,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,-1.3333333333333333,-2.0,0.0,0.1666666666666666,0.2799999999999999,0.6599999999999998,0.0,5.400000000000001,2.799999999999997,4.728593333333326,1027.1,24520.6,0.195495,0.81076,22.98659,21.28826,22.89986,pts+N1+N73+E163
428.421356,251.8467,516.9631999999999,1318.3999999999996,1352.6079999999995,8242.0,15552.0,24272.0,21600.0,29.0,76.0,142.0,180.0,242.0,744.0,1172.0,1248.0,23.37860000000001,64.64880000000002,108.96100000000004,130.086,2.09782,23.62592,17.675639999999998,44.06259999999999,1386.0,1401.6,2779.2,2404.8,1.0,4.4,5.2,9.6,23.2,59.2,93.6,138.4,2.0218,4.66616,7.3372,10.27356,0.0,-8.268,-3.6639999999999993,-15.584,0.0,140.0,115.2,265.2,0.0,0.0,0.0,0.0,0.0,12.0,7.6,18.0,0.0,3.18,2.436,6.636000000000001,4006.3264,8950.928000000022,16486.859200000057,23262.817599999875,14512.0,34976.0,54112.0,63104.0,660.0,1408.0,2640.0,3888.0,4048.0,10816.0,16912.0,21136.0,245.5119999999982,642.1279999999986,1068.5455999999976,1426.0528000000013,11.833599999999992,8.771999999999993,20.605599999999985,25.59360000000001,64.0,48.0,112.0,72.0,1.0,1.0,2.0,3.0,1.0,3.0,5.0,6.0,0.5328999999999998,0.5621000000000005,1.0949999999999995,1.087699999999999,28.090000000000007,59.89000000000004,87.98,86.99536600000006,0.0,0.8900000000000005,0.8900000000000005,2.8799999999999994,0.0,2.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,-2.0,-3.0,-3.0,0.0,-0.04,-0.04,0.6999999999999996,0.0,-6.000000000000001,-6.000000000000001,-0.5142200000000012,8.615866666666669,25.797777777777767,60.64800000000001,56.202844444444416,65.33333333333333,152.44444444444446,224.0,242.66666666666663,1.0,3.555555555555556,8.88888888888889,8.0,12.88888888888889,44.44444444444444,63.55555555555556,48.888888888888886,0.6495111111111112,2.0603111111111114,3.8139555555555535,3.662133333333333,203.2633333333335,425.1389395555557,775.5250524444451,800.5472524444443,0.0,1.3911111111111116,5.208888888888888,2.2222222222222228,0.0,8.88888888888889,41.77777777777778,40.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,13.77777777777778,15.11111111111111,0.0,0.2888888888888887,2.319999999999999,2.400000000000001,0.0,2.4412844444444435,28.13985777777776,60.94617777777778,2221.62,14283.1,0.62365,0.373,13.54818,5.2682,13.40127,tej+N585+N427+E130+E135
349.61087,226.91114444444443,503.5694666666667,1107.220222222222,1621.1080000000004,1549.7777777777778,3941.3333333333335,6495.555555555556,6515.555555555556,36.55555555555556,78.66666666666667,165.55555555555554,252.88888888888889,244.22222222222223,693.3333333333334,1215.5555555555557,1523.5555555555557,14.19672222222223,38.999155555555575,73.27059999999996,103.47240000000004,3.6481,36.3664,48.70499999999999,99.85479999999995,784.0,1232.0,1680.0,1568.0,1.0,6.0,10.0,22.0,36.0,96.0,228.0,192.0,1.4641,5.3966,9.317,12.656599999999996,0.0,-7.58,-6.399999999999998,-10.260000000000003,0.0,124.0,220.0,560.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,100.0,0.0,2.8000000000000003,4.4,16.16,401.9172857142856,878.9922857142864,1560.9816571428576,2080.778057142856,1545.428571428571,3555.428571428572,5901.142857142857,7278.857142857143,64.0,138.28571428571428,249.7142857142857,336.0,388.0,1020.0,1638.2857142857142,2122.8571428571427,25.763657142857152,65.62160000000002,109.45948571428572,145.168,10.969599999999998,11.015999999999996,27.82239999999999,26.277866666666657,59.0,60.0,112.0,103.66666666666669,1.0,1.3333333333333333,3.333333333333333,3.333333333333333,2.0,7.333333333333333,10.666666666666666,10.666666666666666,0.5427666666666665,0.7597333333333336,1.485,1.4994666666666674,36.98,95.67333333333336,158.87015200000002,170.4501520000001,0.0,0.9200000000000004,2.0400000000000005,2.470000000000001,0.0,2.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,-2.6666666666666665,-1.3333333333333333,-2.0,0.0,-0.04,0.4666666666666668,0.4466666666666666,0.0,-6.600000000000001,-2.7428133333333333,-5.4428133333333335,7.889066666666664,5.847999999999996,13.737066666666658,11.695999999999993,42.66666666666666,32.0,74.66666666666667,64.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.0,2.6666666666666665,4.0,0.3552666666666665,0.3747333333333334,0.73,0.7494666666666668,18.72666666666666,39.92666666666667,58.653333333333336,79.85333333333334,0.0,0.5933333333333336,0.5933333333333336,1.1866666666666672,0.0,1.3333333333333333,1.3333333333333333,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,-1.3333333333333333,-2.6666666666666665,0.0,-0.0266666666666666,-0.0266666666666666,-0.0533333333333333,0.0,-4.000000000000001,-4.000000000000001,-8.000000000000002,410.734,130501.0,0.0716195,0.91814,49.50204,47.4327,49.50204,eta+N558+E109
459.882599,124.1227,224.71680000000003,426.6779999999999,775.1999999999998,1438.0,3192.0,5118.0,4200.0,17.0,32.0,58.0,100.0,90.0,248.0,340.0,264.0,10.7681,22.44000000000001,40.2522,57.75000000000001,3.6481,34.8384,48.705000000000005,82.32099999999997,784.0,1176.0,1680.0,1904.0,1.0,6.0,10.0,18.0,36.0,96.0,168.0,228.0,1.4641,5.444999999999999,9.317,12.898599999999997,0.0,-6.78,-6.399999999999998,-8.72,0.0,126.0,220.0,436.0,0.0,0.0,0.0,0.0,0.0,20.0,32.0,70.0,0.0,2.76,4.4,11.119999999999996,264.8691333333333,557.9438000000001,855.4157333333333,1076.7646666666667,1159.3333333333333,2496.0,3549.333333333333,3978.6666666666665,38.66666666666666,82.0,128.0,166.66666666666666,210.0,524.6666666666666,762.6666666666666,889.3333333333334,17.395866666666667,41.10900000000001,61.17680000000002,73.19853333333334,9.241600000000002,12.4032,20.428800000000003,18.8784,49.0,67.2,75.6,67.2,1.0,1.6,2.8,2.6,2.8,8.0,10.8,8.4,0.5625,0.9240000000000002,1.2570000000000003,1.1415000000000002,54.76,133.79200000000003,173.81513680000003,157.09113680000002,0.0,0.7840000000000001,1.7919999999999996,1.6939999999999995,0.0,1.6,8.8,8.6,0.0,0.0,0.0,0.0,0.0,-1.6,-0.8,-1.0,0.0,-0.032,0.4239999999999999,0.4279999999999999,0.0,-6.239999999999998,-2.7685320000000004,-1.988532,10.969600000000003,16.527466666666665,18.905066666666663,21.677333333333326,59.0,88.66666666666667,102.66666666666669,108.33333333333331,1.0,1.666666666666667,2.0,2.666666666666666,3.6666666666666656,7.0,8.666666666666668,14.0,0.5427666666666668,0.9224999999999998,1.115,1.4194666666666662,36.98000000000001,80.16666666666671,114.40000000000003,174.59087133333333,0.0,0.1633333333333334,0.92,1.956666666666667,0.0,0.3333333333333332,2.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,-1.333333333333333,-2.0,0.0,-0.0066666666666666,-0.04,0.0533333333333332,0.0,-1.3000000000000005,-6.599999999999998,-10.935703333333333,1792.55,15850.0,0.36134,0.61602,19.89115,18.20381,19.89115,sma+N613+E232
469.293365,111.505,201.96866666666665,601.3879333333333,387.97399999999993,4956.0,8682.666666666666,6301.333333333333,2128.0,13.0,32.666666666666664,64.0,47.333333333333336,127.33333333333331,428.0,378.6666666666667,122.0,9.5437,29.244866666666656,40.96986666666667,26.97566666666667,1.4884000000000002,31.40280000000001,12.444,33.5134,4356.0,3960.0,1584.0,3696.0,1.0,8.0,4.0,10.0,64.0,165.33333333333331,112.0,208.0,2.7888999999999986,9.886399999999997,5.1436,11.322599999999996,0.0,-15.979999999999992,-5.319999999999999,-15.270000000000003,0.0,468.0,240.0,604.0,0.0,0.0,0.0,0.0,0.0,43.33333333333332,18.0,54.0,0.0,7.439999999999998,3.600000000000001,9.92,235.62552,485.99704,921.9880799999996,1350.9721999999997,890.4,1873.6,3007.2,3456.8,34.8,72.4,140.0,213.2,212.4,584.8,937.6,1059.6,13.122840000000004,32.77636,56.16328,73.12659999999998,10.716896098484844,12.872512159090906,21.43328558712121,29.91296462121212,58.13484848484848,70.46818181818182,111.6439393939394,124.0655303030303,1.0,1.495075757575757,2.323674242424242,3.642803030303031,2.904166666666667,6.789204545454546,10.070265151515148,15.30265151515152,0.5454681818181818,0.8446105681818185,1.234596306818181,1.6713151893939395,48.95318181818181,101.3209962121212,133.29818737840907,197.46227900018937,0.0,0.3307159090909092,0.7155303030303034,2.181204545454546,0.0,0.7431818181818183,2.490530303030304,10.450568181818182,0.0,0.0,0.0,0.0,0.0,-0.9145833333333332,-2.0814393939393945,-3.1030303030303035,0.0,-0.0148636363636363,0.0549242424242424,0.4469545454545454,0.0,-2.229545454545455,-2.90664084469697,-2.572396017045456,10.897506493506496,16.73601774891775,38.066633073593074,52.74638190476191,58.58279220779221,79.058658008658,141.97521645021644,201.1359307359307,1.0,2.0834415584415584,4.889177489177489,6.289610389610389,4.972619047619047,17.445887445887447,29.958441558441564,29.11493506493506,0.5435899567099565,1.082332521645022,2.1429769047619054,2.71209487012987,37.72179545454544,137.48524763755418,257.3402448875541,278.4343366079004,0.0,1.5472878787878783,3.5624891774891783,3.838389610389608,0.0,4.889177489177489,16.80703463203463,20.11883116883117,0.0,0.0,0.0,0.0,0.0,-2.0,0.5721861471861472,2.857683982683983,0.0,0.0827900432900432,0.747300865800866,1.0004913419913422,0.0,-7.772188968614719,-6.123750694805197,-2.136691206709957,1678.33,30540.0,0.402531,0.64366,22.22924,11.90084,22.10628,sod+N156+E159
496.732697,75.24879999999999,108.15359999999995,170.1552,210.528,8864.0,6272.0,5184.0,1152.0,9.0,16.0,20.0,24.0,36.0,80.0,80.0,48.0,7.393199999999999,14.424800000000005,16.866799999999994,13.490399999999998,1.9044,18.9888,14.076,33.06479999999999,8464.0,2944.0,2208.0,5152.0,1.0,4.0,4.0,8.0,16.0,32.0,48.0,64.0,2.89,4.964,5.236,10.199999999999998,0.0,-8.24,-4.68,-12.92,0.0,336.0,344.0,680.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,16.0,0.0,3.88,3.72,7.599999999999999,897.8840000000015,1811.884,2992.722400000001,3915.284000000001,3944.0,8008.0,12136.0,14408.0,124.0,260.0,424.0,572.0,684.0,1716.0,2528.0,2952.0,54.45079999999994,128.28679999999997,195.1816000000001,247.0563999999998,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999999,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,11.63421538461538,13.15323076923076,28.127384615384607,31.108307692307683,62.84615384615385,66.76923076923077,128.15384615384616,159.84615384615384,1.0,1.5384615384615383,3.076923076923077,3.615384615384616,2.6153846153846154,7.846153846153846,11.384615384615383,18.923076923076923,0.5351769230769229,0.8222153846153849,1.4859692307692307,1.945915384615385,30.141538461538463,90.25041276923076,137.22820707692313,210.9239024615384,0.0,1.361538461538462,2.2,3.2330769230769247,0.0,3.692307692307693,8.153846153846153,8.538461538461538,0.0,0.0,0.0,0.0,0.0,-2.0,-1.5384615384615383,-5.461538461538462,0.0,0.003076923076923,0.2215384615384614,-0.016923076923077,0.0,-7.862632307692309,-7.9747,-19.11757230769231,1800.28,13331.0,0.354987,0.65366,15.57949,12.90662,15.57949,mog+N448+N466+E138+E63
487.295258,182.0239,322.3967999999998,812.644,771.592,5758.0,10368.0,13474.0,11392.0,20.0,44.0,80.0,94.0,132.0,352.0,464.0,456.0,14.045,36.12040000000002,54.56700000000001,62.32740000000001,3.1683999999999988,36.73919999999999,21.3244,61.0184,2401.0,2352.0,3577.0,3920.0,1.0,6.0,5.0,11.0,36.0,72.0,108.0,144.0,2.0164000000000004,6.2196,6.39,11.6298,0.0,-9.96,-3.0799999999999987,-14.699999999999992,0.0,246.0,172.0,459.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,42.0,0.0,4.14,2.600000000000001,7.429999999999999,83.02439999999999,131.63099999999991,188.4004,175.84500000000003,402.0,624.0,832.0,546.0,10.0,18.0,24.0,24.0,42.0,90.0,88.0,64.0,4.777,9.193800000000005,11.279200000000005,9.2568,11.833600000000004,7.518857142857136,17.661942857142844,14.005714285714287,64.0,41.142857142857146,96.0,48.0,1.0,0.8571428571428571,1.7142857142857142,1.7142857142857142,0.8571428571428571,2.571428571428572,3.4285714285714284,3.4285714285714284,0.5329000000000005,0.4818000000000005,0.938571428571428,0.7133142857142858,28.08999999999998,51.33428571428571,75.41142857142857,71.80944257142849,0.0,0.7628571428571432,0.7628571428571432,1.825714285714285,0.0,1.7142857142857142,1.7142857142857142,7.714285714285714,0.0,0.0,0.0,0.0,0.0,-1.7142857142857142,-1.7142857142857142,-1.7142857142857142,0.0,-0.0342857142857143,-0.0342857142857143,0.2742857142857144,0.0,-5.142857142857144,-5.142857142857144,-4.463237142857143,5.071542857142855,3.7594285714285687,8.830971428571422,7.002857142857139,27.428571428571427,20.571428571428573,48.0,24.0,0.4285714285714285,0.4285714285714285,0.8571428571428571,0.8571428571428571,0.4285714285714285,1.2857142857142858,1.7142857142857142,1.7142857142857142,0.2283857142857142,0.2409000000000001,0.4692857142857142,0.3566571428571429,12.038571428571428,25.667142857142867,37.705714285714286,35.904721285714295,0.0,0.3814285714285716,0.3814285714285716,0.912857142857143,0.0,0.8571428571428571,0.8571428571428571,3.857142857142857,0.0,0.0,0.0,0.0,0.0,-0.8571428571428571,-0.8571428571428571,-0.8571428571428571,0.0,-0.0171428571428571,-0.0171428571428571,0.1371428571428571,0.0,-2.571428571428572,-2.571428571428572,-2.231618571428572,2117.63,10897.9,0.786035,0.46676,14.03576,12.97591,13.78367,skf+N583+E19
484.011261,126.391,244.9968,539.3892000000001,467.3583999999999,5264.0,7680.0,11200.0,7488.0,14.0,34.0,56.0,58.0,98.0,266.0,356.0,296.0,11.0156,28.4408,41.6512,39.858,2.856099999999999,26.1612,17.93935,35.430850000000014,2304.0,1728.0,3312.0,2352.0,1.0,4.5,4.5,7.0,22.5,49.5,67.5,76.5,2.1904,4.8618,6.179000000000001,7.769999999999999,0.0,-7.875,-3.01,-9.134999999999998,0.0,180.0,147.0,287.0,0.0,0.0,0.0,0.0,0.0,12.5,6.0,12.5,0.0,3.375,2.485,5.109999999999999,144.0441,278.052,442.5655999999999,462.1009999999999,711.0,1380.0,2096.0,2090.0,18.0,38.0,58.0,64.0,96.0,234.0,332.0,332.0,8.944199999999999,20.189400000000003,29.7802,31.2432,11.833599999999995,8.771999999999993,20.605599999999985,17.543999999999986,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5328999999999998,0.5621000000000004,1.0949999999999998,1.1242000000000008,28.09,59.89000000000002,87.98,119.78000000000004,0.0,0.8900000000000005,0.8900000000000005,1.780000000000001,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,11.833599999999995,17.543999999999986,36.945600000000006,26.315999999999992,64.0,96.0,168.0,144.0,1.0,2.0,4.0,3.0,4.0,12.0,18.0,18.0,0.5328999999999998,1.1242000000000008,1.9272,1.6863,28.09,119.78000000000004,171.75768299999993,179.67000000000004,0.0,1.780000000000001,3.020000000000001,2.6700000000000013,0.0,4.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-3.0,0.0,-0.08,0.2799999999999999,-0.1200000000000001,0.0,-12.000000000000002,-11.207110000000002,-18.000000000000004,1722.6,13739.5,0.463412,0.669,20.49287,19.4602,20.49287,unh+N215+E76
330.819794,147.1824,265.22399999999993,509.66460000000006,514.968,3456.0,6048.0,10584.0,9504.0,17.0,38.0,58.0,70.0,96.0,242.0,360.0,376.0,12.9089,30.0322,45.6202,51.961400000000005,2.7224999999999984,20.812,16.665000000000003,45.27599999999999,900.0,880.0,2280.0,1920.0,1.0,3.6666666666666665,4.666666666666667,8.666666666666666,13.666666666666666,31.0,56.66666666666666,81.33333333333333,1.7161000000000006,3.5064333333333337,6.122066666666668,8.427666666666669,0.0,-6.5633333333333335,-2.4,-13.14,0.0,80.66666666666667,64.0,196.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,2.0,10.0,0.0,2.126666666666667,1.4400000000000002,4.920000000000001,248.4694,542.946,933.0004,1310.5079999999996,1060.0,2400.0,3952.0,5274.0,38.0,84.0,144.0,206.0,228.0,612.0,1008.0,1304.0,16.818200000000004,42.16520000000002,70.10720000000002,94.7102,11.833599999999992,8.771999999999993,20.605599999999985,26.316,64.0,48.0,112.0,144.0,1.0,1.0,2.0,3.0,1.0,3.0,5.0,9.0,0.5328999999999998,0.5621000000000005,1.0949999999999995,1.6863000000000006,28.090000000000007,59.89000000000004,87.98,179.67000000000004,0.0,0.8900000000000005,0.8900000000000005,2.6700000000000013,0.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,-2.0,-3.0,-6.0,0.0,-0.04,-0.04,-0.1200000000000001,0.0,-6.000000000000001,-6.000000000000001,-18.000000000000004,9.466879999999996,7.017599999999995,16.484479999999987,21.0528,51.2,38.4,89.6,115.2,0.8,0.8,1.6,2.4,0.8,2.4,4.0,7.2,0.4263199999999998,0.4496800000000002,0.8759999999999998,1.34904,22.472,47.91200000000002,70.384,143.73600000000002,0.0,0.7120000000000003,0.7120000000000003,2.136000000000001,0.0,1.6,1.6,4.8,0.0,0.0,0.0,0.0,0.0,-1.6,-2.4,-4.8,0.0,-0.032,-0.032,-0.096,0.0,-4.800000000000001,-4.800000000000001,-14.400000000000002,2211.49,11254.1,0.941076,0.24654,8.00281,5.70393,8.00281,fnv+N651+E89
477.563934,105.6393,218.88,277.938,324.3456,7137.0,4746.0,8130.0,17946.0,15.0,30.0,42.0,48.0,72.0,162.0,186.0,198.0,11.8476,21.825000000000003,33.6522,38.895,3.724899999999999,11.734399999999996,21.5774,36.97879999999999,2209.0,658.0,1222.0,6110.0,1.0,2.0,4.0,8.0,4.0,12.0,24.0,48.0,1.6384000000000003,1.9200000000000008,3.891199999999999,9.1904,0.0,-2.22,-3.4600000000000004,-3.7199999999999993,0.0,80.0,162.0,246.0,0.0,0.0,0.0,0.0,0.0,-2.0,-4.0,-8.0,0.0,1.0600000000000005,2.08,3.059999999999999,596.4735000000006,1356.3881000000006,2182.1401000000005,2690.964500000004,2223.0,5378.0,7975.0,8900.0,98.0,211.0,350.0,427.0,561.0,1401.0,2043.0,2427.0,39.10420000000001,99.20389999999988,151.3457999999999,180.56909999999976,9.241600000000002,16.993600000000004,23.256,35.568,49.0,91.0,126.0,105.0,1.0,2.0,3.0,5.0,4.0,10.0,20.0,20.0,0.5625,1.1400000000000003,1.7325,1.9875000000000005,54.76,138.38000000000002,250.8600000000001,267.297842,0.0,0.4900000000000002,1.4700000000000006,3.5,0.0,1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,-1.0,-4.0,0.0,0.0,-0.02,-0.06,1.1,0.0,-3.899999999999999,-11.7,0.8786700000000002,9.241600000000002,19.72622222222222,27.70453333333333,42.42488888888888,49.0,80.8888888888889,140.0,164.88888888888889,1.0,2.6666666666666665,3.555555555555556,5.777777777777778,7.333333333333333,16.666666666666668,26.0,34.666666666666664,0.5625,1.2733333333333332,1.948333333333334,2.6700000000000004,54.76,178.30454577777778,270.9397602222222,371.4324755555557,0.0,1.6177777777777782,1.695555555555556,3.60888888888889,0.0,7.111111111111111,4.888888888888889,16.88888888888889,0.0,0.0,0.0,0.0,0.0,1.111111111111111,-0.3333333333333333,3.1111111111111107,0.0,0.3022222222222221,0.0688888888888888,0.773333333333333,0.0,-4.361875555555556,-10.30237,-7.438022222222223,1519.0,21196.1,0.335152,0.68906,18.2417,13.63542,16.37506,cdq+N607+N608+E128+E136
